Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
Luxury Terrace Penthouse Sagrada Familia: 2 bdrms,Barcelona,"€ 1,429",Yes,1,4.86,86336,https://www.airbnb.com/rooms/3328222?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3OgvrRqi_fnzus8&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
"Casa PAULA - Eixample, Barcelona",Barcelona,€ 684,No,0,4.64,236,https://www.airbnb.com/rooms/39219334?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3rUtXLE8fMmBXsK&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Exclusive location Casa Batllo.,Barcelona,€ 914,Yes,1,4.75,75296,https://www.airbnb.com/rooms/976595?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3JPw4Am_RSEwAiG&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Stylish apartment in city center 23,Barcelona,€ 779,No,1,4.81,81184,https://www.airbnb.com/rooms/3796102?search_mode=regular_search&adults=1&check_in=2026-02-22&check_out=2026-02-27&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P30Ykw5qyOtGczFW&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
Stylish apartment in the best neighborhood in Barcelona,Barcelona,"€ 1,306",Yes,1,4.95,95120,https://www.airbnb.com/rooms/905531607109157699?search_mode=regular_search&adults=1&check_in=2026-03-17&check_out=2026-03-22&children=0&infants=0&pets=0&source_impression_id=p3_1769507143_P3yJU7FME3yETKzu&previous_page_section_name=1000&federated_search_id=51294542-7609-4946-a47b-8f0172ceab83
"Terrace, sun and local lifestyle in Gracia",Barcelona,€ 797,Yes,0,4.76,251,https://www.airbnb.com/rooms/12882521?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3_bKjkezQvGGWXk&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
URBAN BARCELONA STYLE APPARTEMENT,Barcelona,€ 966,Yes,0,4.86,204,https://www.airbnb.com/rooms/617782097807907933?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3a_8_A5-uLPQTXE&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
E2VAL1032 - Eixample Esquerra with terrace,Barcelona,€ 612,No,0,4.58,109,https://www.airbnb.com/rooms/675976228523699459?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3NRdIIfGLgxGCHQ&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
New Serviced Boutique Apartment,Barcelona,€ 847,Yes,0,4.78,40,https://www.airbnb.com/rooms/1351450045402368913?search_mode=regular_search&adults=1&check_in=2026-02-07&check_out=2026-02-12&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3cmZwFgeUo6lOXJ&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
Art House Toni 'Consell de Cent & Rocafort',Barcelona,€ 923,Yes,0,4.86,155,https://www.airbnb.com/rooms/4141367?search_mode=regular_search&adults=1&check_in=2026-02-06&check_out=2026-02-11&children=0&infants=0&pets=0&source_impression_id=p3_1769507266_P3K_mWP280pErpdz&previous_page_section_name=1000&federated_search_id=2e683dc3-f098-4a24-86d4-895f25fae1e7
