Name,city,Price,Superhost,is_fav,Rating,Reviews,URL
Pompeo Apartment B,Rome,"10,096 kr NOK",Yes,1,4.96,9676,https://www.airbnb.com/rooms/1174595949096053759?search_mode=regular_search&adults=1&check_in=2026-02-08&check_out=2026-02-13&children=0&infants=0&pets=0&source_impression_id=p3_1769510860_P3gKVC3ItApUmOqV&previous_page_section_name=1000&federated_search_id=7fe38a73-9809-4625-ba98-84114314c96f
Contemporary duplex in the heart of Monti,Rome,"10,135 kr NOK",Yes,1,5.0,049,https://www.airbnb.com/rooms/1326043530649141741?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510860_P3alJ4yDuDR_2AhT&previous_page_section_name=1000&federated_search_id=7fe38a73-9809-4625-ba98-84114314c96f
Green House Roma,Rome,"4,151 kr NOK",No,1,4.94,9447,https://www.airbnb.com/rooms/1401291587452658564?search_mode=regular_search&adults=1&check_in=2026-04-19&check_out=2026-04-24&children=0&infants=0&pets=0&source_impression_id=p3_1769510970_P3fK-nfABGMng8uj&previous_page_section_name=1000&federated_search_id=d55ffcc0-2bd1-4708-8abf-7316423b9d7b
Trevi Dolce Vita Apartment,Rome,"10,954 kr NOK",Yes,1,4.91,91131,https://www.airbnb.com/rooms/1047213442232937587?search_mode=regular_search&adults=1&check_in=2026-02-05&check_out=2026-02-10&children=0&infants=0&pets=0&source_impression_id=p3_1769510970_P3eELuojUx87t8lI&previous_page_section_name=1000&federated_search_id=d55ffcc0-2bd1-4708-8abf-7316423b9d7b
Tiziano apartment-a spacious home for you in Rome,Rome,"4,438 kr NOK",Yes,1,4.94,9431,https://www.airbnb.com/rooms/1241933255922281964?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510970_P3VaNNprzw7K6wzH&previous_page_section_name=1000&federated_search_id=d55ffcc0-2bd1-4708-8abf-7316423b9d7b
Colosseum 10 minutes away (Advance Luggage Storage,Rome,"6,958 kr NOK",Yes,0,4.84,50,https://www.airbnb.com/rooms/1338497508136104733?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769510970_P3UuXqfUeQDAzSbN&previous_page_section_name=1000&federated_search_id=d55ffcc0-2bd1-4708-8abf-7316423b9d7b
[Colosseo-San Giovanni] New Apartment Wi-Fi & A/C,Rome,"5,539 kr NOK",Yes,0,4.9,31,https://www.airbnb.com/rooms/1307978898994384538?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511058_P3HLCUETOUG7rNoI&previous_page_section_name=1000&federated_search_id=6637588f-360d-4535-9fce-ea0a33edaf38
Flora Cozy Flat close to Metro,Rome,"5,052 kr NOK",Yes,0,4.89,28,https://www.airbnb.com/rooms/1269368347816351022?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511058_P3lO3Jle5kCWQ2Sa&previous_page_section_name=1000&federated_search_id=6637588f-360d-4535-9fce-ea0a33edaf38
Flaminio Center Apartment,Rome,"6,363 kr NOK",Yes,0,New,2,https://www.airbnb.com/rooms/1600072990548922979?search_mode=regular_search&adults=1&check_in=2026-02-01&check_out=2026-02-06&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P385v73V3WqgfPtZ&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
Two Bedrooms Spanish Steps Apartment,Rome,"9,218 kr NOK",Yes,1,4.82,8268,https://www.airbnb.com/rooms/1329070209597372448?search_mode=regular_search&adults=1&check_in=2026-02-23&check_out=2026-02-28&children=0&infants=0&pets=0&source_impression_id=p3_1769511185_P3dUBr2mdJez307J&previous_page_section_name=1000&federated_search_id=020be7cb-c036-4397-9999-caa8bbfa0c7c
